Surname,Awards,Education,Dblp
Sammet,7,Education information not found,56
Sammut,0,Education information not found,135
Sassenrath,0,Education information not found,0
Satyanarayanan,5,"He has a bachelor's and master's degree from Indian Institute of Technology, Madras in 1975 and 1977, and his Ph.D. in computer science from CMU in 1983.[citation needed]",220
Savitch,0,Education information not found,0
Schaeffer,0,Education information not found,238
Schickard,0,Education information not found,0
Schmidhuber,2,Education information not found,475
Schneider,0,Education information not found,171
Schneier,0,Education information not found,164
Schneider,14,Education information not found,153
Schoenebeck,6,"Schoenebeck is from California and is of Indian and Australian descent.[1] She was an undergraduate student in engineering at Dartmouth College.[2] As an undergraduate student played tennis, and earned first team all-ivy honours three times.[2] She moved to the University of California, Berkeley for her graduate studies, where she completed a Master's in information management.[3][4] She was selected as the 2006 UC Berkeley School of Information Class Speaker.[5] Schoenebeck was a doctoral researcher at Georgia Tech, where she studied ways that parents could support young people's use of social media.[6]",78
Schroeder,0,Education information not found,0
Schölkopf,1,"Schölkopf studied mathematics, physics, and philosophy in Tübingen and London. He was supported by the Studienstiftung and won the Lionel Cooper Memorial Prize for the best M.Sc. in Mathematics at the University of London.[32] He completed a Diplom in Physics, and then moved to Bell Labs in New Jersey, where he worked with Vladimir Vapnik, who became co-adviser of his PhD thesis at the TU Berlin (with Stefan Jähnichen). His thesis, defended in 1997, won the annual award of the German Informatics Association.[33] In 2001, following positions in Berlin, Cambridge and New York, he founded the Department for Empirical Inference at the Max Planck Institute for Biological Cybernetics, which grew into a leading center for research in machine learning. In 2011, he became founding director at the Max Planck Institute for Intelligent Systems.[34][35] With Alex Smola, Schölkopf co-founded the series of Machine Learning Summer Schools.[36] He also co-founded a Cambridge-Tübingen PhD Programme[37] and the Max Planck-ETH Center for Learning Systems.[38] In 2016, he co-founded the Cyber Valley research consortium.[39] He participated in the IEEE Global Initiative on ""Ethically Aligned Design"".[40] Schölkopf is co-editor-in-Chief of the Journal of Machine Learning Research, a journal he helped found, being part of a mass resignation of the editorial board of Machine Learning (journal). He is among the world’s most cited computer scientists.[41] Alumni of his lab include Ulrike von Luxburg, Carl Rasmussen, Matthias Hein, Arthur Gretton, Gunnar Rätsch, Matthias Bethge, Stefanie Jegelka, Jason Weston, Olivier Bousquet, Olivier Chapelle, Joaquin Quinonero-Candela, and Sebastian Nowozin.[42]",884
Scott,0,Education information not found,0
Scott,0,"Scott received a PhD from the University of Wisconsin–Madison in 1985. He joined the faculty at Rochester the same year as an assistant professor of computer science. Scott was chair of the computer science department from 1996 until 1999, when he was succeeded by Mitsunori Ogihara.  He served again as interim chair from July to December 2007 and from July to December 2017. In 2001, Scott received the University of Rochester’s Robert and Pamela Goergen Award for Distinguished Achievement and Artistry in Undergraduate Teaching. Scott published the text Programming Language Pragmatics in 2000. A second edition was published in 2005, a third in 2009, and a fourth in 2015.  Translations have been made to Greek and simplified Chinese.",0
Sedgewick,0,Education information not found,99
Sethi,4,Education information not found,70
Shadbolt,11,"Shadbolt was born in London but adopted and raised in the Derbyshire village of Ashford-in-the-Water, living a ""bucolic existence"" until he went to university.[15] He went to Lady Manners School, then a grammar school. He obtained an undergraduate degree in philosophy and psychology at Newcastle University. His PhD degree was received from the Department of Artificial Intelligence at the University of Edinburgh.[4] His thesis resulted in a framework for understanding how human dialogue is organised and was supervised by Barry Richards[4] and Henry S. Thompson.[4]",339
Shamir,11,Education information not found,276
Shannon,1,Education information not found,0
Shaw,0,"Shaw was raised in Los Angeles, California.[4] His father was a theoretical physicist who specialised in plasma and fluid flows, and his mother is an artist and educator.[4] They divorced when he was 12.[4] His stepfather, Irving Pfeffer, was professor of finance at University of California, Los Angeles, and the author of papers supporting the efficient market hypothesis.[4] Shaw earned a bachelor's degree summa cum laude from the University of California, San Diego, a PhD from Stanford University in 1980, and then became an assistant professor of the department of computer science at Columbia University.[5][6] While at Columbia, Shaw conducted research in massively parallel computing with the NON-VON supercomputer. This supercomputer was composed of processing elements in a tree structure meant to be used for fast relational database searches. Earlier in his career, he founded Stanford Systems Corporation.",66
Shaw,0,Education information not found,0
Shenker,2,Education information not found,370
Shekhar,0,Education information not found,338
Shneiderman,1,"Born in New York, Shneiderman, attended the Bronx High School of Science, and received a BS in Mathematics and Physics from the City College of New York in 1968. He then went on to study at the State University of New York at Stony Brook, where he received an MS in Computer Science in 1972 and graduated with a PhD in 1973.",503
Shortliffe,3,Education information not found,121
Siewiorek,2,"Daniel P. Siewiorek received a Bachelor of Arts (B.A.) in Electrical Engineering from the University of Michigan, Ann Arbor in 1968. He then attended Stanford University, graduating with an Master of Arts (M.A.) in Electrical Engineering with a minor in Computer Science in 1969, and a Doctor of Philosophy (Ph.D.), also in Electrical Engineering, in 1972.[1]",0
Sifakis,10,Education information not found,229
Simon,1,"Herbert Alexander Simon was born in Milwaukee, Wisconsin on June 15, 1916. Simon's father, Arthur Simon (1881–1948), was a Jewish[13] electrical engineer who came to the United States from Germany in 1903 after earning his engineering degree at Technische Hochschule Darmstadt.[14] An inventor, Arthur also was an independent patent attorney.[15] Simon's mother, Edna Marguerite Merkel (1888–1969), was an accomplished pianist whose Jewish, Lutheran, and Catholic ancestors came from Braunschweig, Prague and Cologne.[16] Simon's European ancestors were piano makers, goldsmiths, and vintners. Simon attended Milwaukee Public Schools, where he developed an interest in science and established himself as an atheist. While attending middle school, Simon wrote a letter to ""the editor of the Milwaukee Journal defending the civil liberties of atheists"".[17] Unlike most children, Simon's family introduced him to the idea that human behavior could be studied scientifically; his mother's younger brother, Harold Merkel (1892–1922), who studied economics at the University of Wisconsin–Madison under John R. Commons, became one of his earliest influences. Through Harold's books on economics and psychology, Simon discovered social science. Among his earliest influences, Simon cited Norman Angell for his book The Great Illusion and Henry George for his book Progress and Poverty. While attending high school, Simon joined the debate team, where he argued ""from conviction, rather than cussedness"" in favor of George's single tax.[18] In 1933, Simon entered the University of Chicago, and, following his early influences, decided to study social science and mathematics. Simon was interested in studying biology but chose not to pursue the field because of his ""color-blindness and awkwardness in the laboratory"".[19] At an early age, Simon learned he was color blind and discovered the external world is not the same as the perceived world. While in college, Simon focused on political science and economics. Simon's most important mentor was Henry Schultz, an econometrician and mathematical economist.[1] Simon received both his B.A. (1936) and his Ph.D. (1943) in political science from the University of Chicago, where he studied under Harold Lasswell, Nicolas Rashevsky, Rudolf Carnap, Henry Schultz, and Charles Edward Merriam.[20] After enrolling in a course on ""Measuring Municipal Governments,"" Simon became a research assistant for Clarence Ridley, and the two co-authored Measuring Municipal Activities: A Survey of Suggested Criteria for Appraising Administration in 1938.[21] Simon's studies led him to the field of organizational decision-making, which became the subject of his doctoral dissertation.",0
Singh,2,Singh received his B.Tech. in computer science & engineering from the Indian Institute of Technology Delhi in 1986. He obtained a Ph.D. in computer science from the University of Texas at Austin in 1993 under the supervision of E. Allen Emerson and Nicholas M. Asher.[9],477
Sitaraman,0,Education information not found,0
Sleator,4,Education information not found,0
Sloman,0,"Sloman was born in 1936, in the town of Que Que (now called Kwe Kwe), in what was then Southern Rhodesia (now Zimbabwe). His parents were Lithuanian Jews who emigrated to Southern Rhodesia around the turn of the century. Sloman describes himself as an atheist.[2] He went to school in Cape Town between 1948 and 1953, then earned a degree in Mathematics and Physics at the University of Cape Town in 1956, after which a Rhodes Scholarship (from South African College School) took him to the University of Oxford (first Balliol College, and then St Antony's College). In Oxford, he became interested in philosophy after a brief period studying mathematical logic supervised by Hao Wang, eventually writing a DPhil in philosophy, defending the ideas of Immanuel Kant about the nature of mathematical knowledge as non-empirical and non-analytic ('Knowing and Understanding', 1962, now online at AARON SLOMAN DPHIL 1962).",69
Sølvberg,0,Education information not found,50
Smith,0,Education information not found,15
Smith,0,Education information not found,24
Spewak,0,Education information not found,0
Spradling,4,Education information not found,9
Sproull,0,Education information not found,1
Srihari,0,"Rohini Srihari received  her early education in Lansing, Michigan, Kanpur India and Waterloo, Ontario.  She received an undergraduate degree in Computer Science from the University of Waterloo, Ontario, Canada and the M.S. and Ph.D. degrees in Computer Science from the University at Buffalo, The State University of New York.",0
Srihari,1,"Srihari received undergraduate degrees in Science and in Electrical Communication Engineering from the National College of Bangalore University and the Indian Institute of Science in Bangalore respectively.  He received Master's and Doctoral degrees in Computer and Information Science from Ohio State University, Columbus.[1]",0
Stachowiak,0,"After graduating from East High School (Rochester, New York) in 1994,[1] Stachowiak was accepted into MIT where he completed Course 6 - Electrical Engineering and Computer Science and received both his S.B. and M.Eng. in 1998.[2] While at MIT Stachowiak worked on the Rethinking CS101 project,[3][4] and in 1997 he began the Scheme Constraints Window Manager project with Greg J. Badros.[5]  He also contributed to a paper with the Cognitive & Neural Sciences Office of Naval Research.[6]  Stachowiak's MIT M.Eng. thesis on ""Automated Extraction of Structured data from HTML Documents"" was indicative of his early interest in web standards and development.[7]",0
Stallman,26,Education information not found,0
Stamper,0,Education information not found,0
Starner,0,"Starner graduated from Dallastown Area High School in York PA in 1987 with honors. He won a talent show in technological science for one of the first AI puzzle-solving PC computer simulations in 1986 before high school graduation gaining him early recognition. Starner graduated from the Massachusetts Institute of Technology with a B.S. in Brain and Cognitive Science (1991), a B.S. in Computer Science (1991), a M.S. in Media Arts and Science, and finally a Ph.D. in Media Arts and Sciences (1999) from the MIT Media Laboratory. His doctoral work was entitled ""Wearable Computing and Contextual Awareness,"" dealing with pattern recognition and how wearable computing can be utilized for purposes such as recognizing hand motions used in American Sign Language.[3][4][5] Starner is probably most well known for being a strong advocate for wearable computing. During his time at the MIT Media Lab, Starner, already responsible for helping create one of the earliest high-accuracy online cursive handwriting recognition systems in 1993[1][5] as an associate scientist with BBN's Speech Systems Group, became one of the world's leading experts on the subject. Starner is also a co-founder of the IEEE International Symposium on Wearable Computers (ISWC) and co-founder and first member of the MIT Wearable Computing Project, where he was one of the first 6 cyborgs involved.[1] Since 1993, Starner has been wearing his own customized wearable computer system full-time, arguably one of the longest, if not the longest, such instances. He designed the hardware for his system, dubbed ""The Lizzy"", based on designs of the wearable ""hip PC"" designed by Doug Platt, who built Starner's original wearable. The original system consisted of custom parts from a kit made by Park Enterprises, a Private Eye display, and a Twiddler chorded keyboard.[6][7][8] As of January 29, 2008, Starner's setup has evolved to include a heads-up display showing 640x480 screen resolution, a Twiddler, and an OQO Model 1 Ultra-Mobile PC (though the specifications listed suggest an OQO Model 01+) with a GHz processor, 512 MB of RAM, 30GB hard disk, USB2, Firewire, and Wi-Fi built in, as well as a mobile phone with cellular Internet access as well.[9] Some of the benefits he receives from wearing a computer include being able to type and access the Internet while walking around or talking to others, allowing him to take notes on a conversation in real-time, opening up notes on a certain subject and e-mailing them at any time or even having two conversations at once, one online and one face to face, and if he comes across something he doesn't know or recognize, he can instantly find out.[9] In addition to augmenting the outside world, having a computer on at all times improves Starner's nerves while giving talks; Starner has a speech impediment but is able to speak more clearly when prompted by a computer.[10] Starner is a Technical Lead/Manager on Google's Project Glass wearable computing project.[11] One of his prominent research focuses is the involvement of wearable computing with American Sign Language (ASL). His work intends to create a bridge between the deaf and hearing communities that will facilitate communication between the two using an ASL-to-English one-way translator. Starner is also researching dual-purpose speech, where a wearable computer will be able to interpret certain speech patterns and bring up appropriate programs, such as a calendar for scheduling appointments.[5][9][12] In addition, Starner has been involved in the Aware Home project, which uses technology to create an interactive and personalizable environment within the home that would benefit individuals who wouldn't normally be able to live independently.[13] Starner's preeminence in his field earned him a spot among Technology Review's TR100 top 100 remarkable innovators (now renamed TR35 and limited to thirty-five winners) in 1999.[2] His work has featured on CBS's 60 Minutes, CNN, BBC, and The Wall Street Journal and has been demonstrated to a number of Fortune 500 companies including Merrill Lynch, IBM, and Motorola.[1]",266
Stearns,3,Education information not found,0
Jr.,1,Education information not found,0
Sterling,0,"Sterling, was born near Amanda, Ohio. He moved with his parents, Charles Sterling (1821–1905) and Anna Kessler (1827–1908) to McLean County, Illinois in 1854, where he attended the public schools and graduated from Illinois Wesleyan University at Bloomington in 1875.",8
Stepanov,0,Education information not found,0
Stevens,3,Education information not found,0
Stockmeyer,12,Education information not found,0
Stolfo,0,Education information not found,0
Stonebraker,6,Education information not found,421
Storaasli,0,"Storaasli received a B.A. in physics, mathematics, & French at Concordia College (1964). He went on to earn an M.A. in mathematics at University of South Dakota (1966) and a Ph.D in engineering mechanics at NCSU (1970). He also worked as a postdoctoral fellow at Norwegian University of Science & Technology ([3] (1984–85]) and the University of Edinburgh(2008).",0
Strachey,0,"Christopher Strachey was born on 16 November 1916 to Oliver Strachey and Rachel (Ray) Costelloe in Hampstead, England. Oliver Strachey was the son of Richard Strachey and the great-grandson of Sir Henry Strachey, 1st Baronet. His elder sister was the writer Barbara Strachey. In 1919, the family moved to 51 Gordon Square. The Stracheys belonged to the Bloomsbury Group whose members included Virginia Woolf, John Maynard Keynes and Christopher's uncle Lytton Strachey. At 13, Christopher went to Gresham's School, Holt where he showed signs of brilliance but in general performed poorly. He was admitted to King's College, Cambridge (the same college as Alan Turing) in 1935 where he continued to neglect his studies. Strachey studied mathematics and then transferred to physics. At the end of his third year at Cambridge, Strachey suffered a nervous breakdown, possibly related to coming to terms with his homosexuality. He returned to Cambridge but managed only a ""lower second"" in the Natural Sciences Tripos.[6]",0
Strassen,2,Education information not found,21
Stroustrup,0,"Stroustrup was born in Aarhus, Denmark. His family was working class, and he attended local schools.[6] He attended Aarhus University from 1969 to 1975 and graduated with a Candidatus Scientiarum in mathematics with computer science.[7] His interests focused on microprogramming and machine architecture. He learned the fundamentals of object-oriented programming from its inventor, Kristen Nygaard, who frequently visited Aarhus. In 1979, he received his PhD in computer science from the University of Cambridge,[8][9] where his research on distributed computing was supervised by David Wheeler.[1][8]",78
Sudan,2,Education information not found,333
Sussman,1,"Sussman attended the Massachusetts Institute of Technology as an undergraduate and received his SB in mathematics in 1968. He continued his studies at MIT and obtained a PhD in 1973, also in mathematics, under the supervision of Seymour Papert. His doctoral thesis was titled ""A Computational Model of Skill Acquisition"" focusing on artificial intelligence and machine learning, using a computational performance model named HACKER.[2] According to a common story,[3] in 1966, Marvin Minsky tasked his student Gerald Jay Sussman to “spend the summer linking a camera to a computer and getting the computer to describe what it saw.”[4] This story was often told to illustrate that the difficulty of computer vision was not apparent to AI researchers in the early days.",0
Sutherland,0,Education information not found,2
Sutherland,12,"Sutherland's father was from New Zealand; his mother, Anne Sutherland, was from Scotland. His family moved to Wilmette, Illinois, then Scarsdale, New York, for his father's career. Bert Sutherland was his elder brother.[7] Ivan Sutherland earned his bachelor's degree in electrical engineering from the Carnegie Institute of Technology, his master's degree from Caltech, and his Ph.D. from MIT in Electrical Engineering in 1963.[8][2] Sutherland invented Sketchpad in 1962 while at MIT. Claude Shannon signed on to supervise Sutherland's computer drawing thesis.[2] Among others on his thesis committee were Marvin Minsky and Steven Coons. Sketchpad was an innovative program that influenced alternative forms of interaction with computers. Sketchpad could accept constraints and specified relationships among segments and arcs, including the diameter of arcs. It could draw both horizontal and vertical lines and combine them into figures and shapes. Figures could be copied, moved, rotated, or resized, retaining their basic properties. Sketchpad also had the first window-drawing program and clipping algorithm, which allowed zooming. Sketchpad ran on the Lincoln TX-2 computer and influenced Douglas Engelbart's oN-Line System. Sketchpad, in turn, was influenced by the conceptual Memex as envisioned by Vannevar Bush in his influential paper ""As We May Think"".[citation needed]",0
Sweeney,0,"Sweeney graduated from Dana Hall Schools in Wellesley, Massachusetts, receiving her high school diploma in 1977. She delivered the valedictory at the graduation ceremony.[10] She began her undergraduate work in computer science at MIT, but left to found a company. She completed her undergraduate degree in computer science at the Harvard University Extension School.[11] In 2001, Sweeney was awarded a Ph.D. in computer science from the Massachusetts Institute of Technology, the first African American woman to do so.[12]  Of this career move she has said, ""I would do something that was really quite noteworthy, but there was nowhere to publish about it. You could get paid for it, but there was no way to say, 'You won’t believe what I just did!' The only way to get it was to go back to school.""[13]",49
Szegedy,1,Education information not found,119
Tabriz,0,"Tabriz initially enrolled at the University of Illinois at Urbana–Champaign to study computer engineering, but soon became interested in computer science instead.[4][5] She completed a bachelor of science and master of science degree at the university[4][6] and did research in wireless security and attacks on privacy-enhancing technologies, co-authoring papers with her advisor Nikita Borisov.[5][7][8] She was an active member of a student club interested in computer security, which she joined because her own website was hacked.[4]",6
Tamassia,1,Education information not found,305
Tanenbaum,1,Education information not found,212
Tate,0,"Tate was born 12 May 1951, Knottingley, West Yorkshire, UK.[6] He completed his  B.A. (Hons) Computer Studies, Lancaster University, 1969-1972.[6] He completed his postgraduate study in Machine Intelligence at University of Edinburgh, supervised by Donald Michie, 1972-1975 and a Master of Science degree in e-Learning at the University of Edinburgh, 2011-2012.[6]",60
Thalheim,6,Education information not found,386
Tardos,2,"Tardos received her Dipl. Math in 1981 and her Ph.D. 1984 from the Faculty of Sciences of the Eötvös Loránd University under her advisor András Frank.[2] She was the Chair of the Department of Computer Science at Cornell from 2006-2010, and she is currently serving as the Associate Dean of the College of Computing and Information Science.[3] She was editor-in-Chief of SIAM Journal on Computing from 2004–2009, and is currently the Economics and Computation area editor of the Journal of the ACM as well as on the Board of Editors of Theory of Computing.[4] She has co-authored with Jon Kleinberg a textbook called Algorithm Design (ISBN 1292037040).",235
Tardos,0,"Gábor Tardos received his PhD in Mathematics from Eötvös University, Budapest in 1988. His counsellors were László Babai and Péter Pálfy. He held postdoctoral posts at the University of Chicago, Rutgers University, University of Toronto and the Princeton Institute for Advanced Study. From 2005 to 2013, he served as a Canada Research Chair of discrete and computational geometry at Simon Fraser University. He then returned to Budapest to the Alfréd Rényi Institute of Mathematics where he has served as a research fellow since 1991.[2]",152
Tarjan,1,"He was born in Pomona, California. His father, raised in Hungary,[1] was a child psychiatrist, specializing in mental retardation, and ran a state hospital.[2] As a child, Tarjan read a lot of science fiction, and wanted to be an astronomer. He became interested in mathematics after reading Martin Gardner's mathematical games column in Scientific American. He became seriously interested in math in the eighth grade, thanks to a ""very stimulating"" teacher.[3] While he was in high school, Tarjan got a job, where he worked with IBM punch card collators. He first worked with real computers while studying astronomy at the Summer Science Program in 1964.[2] Tarjan obtained a Bachelor's degree in mathematics from the California Institute of Technology in 1969.  At Stanford University, he received his master's degree in computer science in 1971 and a Ph.D. in computer science (with a minor in mathematics) in 1972. At Stanford, he was supervised by Robert Floyd[4] and  Donald Knuth,[5] both highly prominent computer scientists, and his Ph.D. dissertation was An Efficient Planarity Algorithm. Tarjan selected computer science as his area of interest because he believed that computer science was a way of doing mathematics that could have a practical impact.[6] Tarjan now lives in Princeton, NJ, and Silicon Valley.  He is married to Nayla Rizk.[7]
He has three daughters:  Alice Tarjan, Sophie Zawacki, and Maxine Tarjan.[8]",0
Taylor,0,Education information not found,106
Tchou,0,Education information not found,0
Teevan,1,"Teevan received a B.S. in Computer Science from Yale University. As an undergraduate, she sold her senior thesis to Infoseek, an early web search engine. In it she invented an early approach to using the web link graph to support information seeking.[1] Teevan also received a Ph.D. and S.M. from MIT where she helped pioneer the field of Personal Information Management.[2][3][4]",147
Teng,3,Education information not found,252
Tesler,0,Education information not found,10
Tevanian,0,Education information not found,0
Thacker,1,Education information not found,12
Thalmann,1,Education information not found,589
Thompson,7,"Thompson was born in New Orleans, Louisiana. When asked how he learned to program, Thompson stated, ""I was always fascinated with logic and even in grade school I'd work on arithmetic problems in binary, stuff like that. Just because I was fascinated.""[3] Thompson received a Bachelor of Science in 1965 and a master's degree in 1966, both in Electrical Engineering and Computer Sciences, from the University of California, Berkeley, where his master's thesis advisor was Elwyn Berlekamp.[4]",38
Thompson,0,Education information not found,85
Thrun,1,"Thrun was born in 1967 in Solingen, Germany (former West Germany), the son of Winfried and Kristin (Grüner) Thrun. He completed his Vordiplom (intermediate examination) in computer science, economics, and medicine at the University of Hildesheim in 1988.  At the University of Bonn, he completed a Diplom (first degree) in 1993 and a Ph.D. (summa cum laude) in 1995 in computer science and statistics.[3]Later in his career, he was awarded many honorary Ph.D. degrees from European universities, including his first alma mater.[11]",328
Tichy,3,Education information not found,204
Toda,0,Education information not found,41
Toh,2,Education information not found,0
Torvalds,1,Education information not found,2
Quevedo,0,Education information not found,0
Toussaint,2,Education information not found,211
Townsend,3,Education information not found,0
Tozer,0,Education information not found,3
Traub,7,Education information not found,0
Tucker,0,Education information not found,114
Tukey,0,Education information not found,0
Turing,0,"Turing was born in Maida Vale, London, while his father, Julius Mathison Turing was on leave from his position with the Indian Civil Service (ICS) of the British Raj government at Chatrapur, then in the Madras Presidency and presently in Odisha state, in India.[16][17] Turing's father was the son of a clergyman, the Rev. John Robert Turing, from a Scottish family of merchants that had been based in the Netherlands and included a baronet. Turing's mother, Julius's wife, was Ethel Sara Turing (née Stoney), daughter of Edward Waller Stoney, chief engineer of the Madras Railways. The Stoneys were a Protestant Anglo-Irish gentry family from both County Tipperary and County Longford, while Ethel herself had spent much of her childhood in County Clare.[18] Julius and Ethel married on 1 October 1907 at Bartholomew's church on Clyde Road, in Dublin.[19] Julius's work with the ICS brought the family to British India, where his grandfather had been a general in the Bengal Army. However, both Julius and Ethel wanted their children to be brought up in Britain, so they moved to Maida Vale,[20] London, where Alan Turing was born on 23 June 1912, as recorded by a blue plaque on the outside of the house of his birth,[21][22] later the Colonnade Hotel.[16][23] Turing had an elder brother, John Ferrier Turing, father of Sir John Dermot Turing, 12th Baronet of the Turing baronets.[24] Turing's father's civil service commission was still active during Turing's childhood years, and his parents travelled between Hastings in the United Kingdom[25] and India, leaving their two sons to stay with a retired Army couple. At Hastings, Turing stayed at Baston Lodge, Upper Maze Hill, St Leonards-on-Sea, now marked with a blue plaque.[26] The plaque was unveiled on 23 June 2012, the centenary of Turing's birth.[27] Very early in life, Turing showed signs of the genius that he was later to display prominently.[28] His parents purchased a house in Guildford in 1927, and Turing lived there during school holidays. The location is also marked with a blue plaque.[29] Turing's parents enrolled him at St Michael's, a primary school at 20 Charles Road, St Leonards-on-Sea, from the age of six to nine. The headmistress recognised his talent, noting that she has ""...had clever boys and hardworking boys, but Alan is a genius"".[30] Between January 1922 and 1926, Turing was educated at Hazelhurst Preparatory School, an independent school in the village of Frant in Sussex (now East Sussex).[31] In 1926, at the age of 13, he went on to Sherborne School,[32] an independent boarding school in the market town of Sherborne in Dorset, where he boarded at Westcott House. The first day of term coincided with the 1926 General Strike, in Britain, but Turing was so determined to attend that he rode his bicycle unaccompanied 60 miles (97 km) from Southampton to Sherborne, stopping overnight at an inn.[33] Turing's natural inclination towards mathematics and science did not earn him respect from some of the teachers at Sherborne, whose definition of education placed more emphasis on the classics. His headmaster wrote to his parents: ""I hope he will not fall between two stools. If he is to stay at public school, he must aim at becoming educated. If he is to be solely a Scientific Specialist, he is wasting his time at a public school"".[34] Despite this, Turing continued to show remarkable ability in the studies he loved, solving advanced problems in 1927 without having studied even elementary calculus. In 1928, aged 16, Turing encountered Albert Einstein's work; not only did he grasp it, but it is possible that he managed to deduce Einstein's questioning of Newton's laws of motion from a text in which this was never made explicit.[35] At Sherborne, Turing formed a significant friendship with fellow pupil Christopher Collan Morcom (13 July 1911 – 13 February 1930),[36] who has been described as Turing's first love.[37][38][39] Their relationship provided inspiration in Turing's future endeavours, but it was cut short by Morcom's death, in February 1930, from complications of bovine tuberculosis, contracted after drinking infected cow's milk some years previously.[40][41][42] The event caused Turing great sorrow. He coped with his grief by working that much harder on the topics of science and mathematics that he had shared with Morcom. In a letter to Morcom's mother, Frances Isobel Morcom (née Swan), Turing wrote: I am sure I could not have found anywhere another companion so brilliant and yet so charming and unconceited. I regarded my interest in my work, and in such things as astronomy (to which he introduced me) as something to be shared with him and I think he felt a little the same about me ... I know I must put as much energy if not as much interest into my work as if he were alive, because that is what he would like me to do.[43] Turing's relationship with Morcom's mother continued long after Morcom's death, with her sending gifts to Turing, and him sending letters, typically on Morcom's birthday.[44] A day before the third anniversary of Morcom's death (13 February 1933), he wrote to Mrs. Morcom: I expect you will be thinking of Chris when this reaches you. I shall too, and this letter is just to tell you that I shall be thinking of Chris and of you tomorrow. I am sure that he is as happy now as he was when he was here. Your affectionate Alan.[45] Some have speculated that Morcom's death was the cause of Turing's atheism and materialism.[46] Apparently, at this point in his life he still believed in such concepts as a spirit, independent of the body and surviving death. In a later letter, also written to Morcom's mother, Turing wrote: Personally, I believe that spirit is really eternally connected with matter but certainly not by the same kind of body ... as regards the actual connection between spirit and body I consider that the body can hold on to a 'spirit', whilst the body is alive and awake the two are firmly connected. When the body is asleep I cannot guess what happens but when the body dies, the 'mechanism' of the body, holding the spirit is gone and the spirit finds a new body sooner or later, perhaps immediately.[47][48] After graduating from Sherborne, Turing applied for several Cambridge colleges scholarships, including Trinity and King's, eventually earning a £80 per annum scholarship (equivalent to about £4,300 as of 2023) to study at the latter.[49][50] There, Turing studied the undergraduate course in Schedule B (that is, a three-year Parts I and II, of the Mathematical Tripos, with extra courses at the end of the third year, as Part III only emerged as a separate degree in 1934) from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics. His dissertation, On the Gaussian error function, written during his senior year and delivered in November 1934 (with a deadline date of 6 December) proved a version of the central limit theorem. It was finally accepted on 16 March 1935. By spring of that same year, Turing started his master's course (Part III)—which he completed in 1937—and, at the same time, he published his first paper, a one-page article called Equivalence of left and right almost periodicity (sent on 23 April), featured in the tenth volume of the Journal of the London Mathematical Society.[51] Later that year, Turing was elected a Fellow of King's College on the strength of his dissertation.[52] However, and, unknown to Turing, this version of the theorem he proved in his paper, had already been proven, in 1922, by Jarl Waldemar Lindeberg. Despite this, the committee found Turing's methods original and so regarded the work worthy of consideration for the fellowship. Abram Besicovitch's report for the committee went so far as to say that if Turing's work had been published before Lindeberg's, it would have been ""an important event in the mathematical literature of that year"".[53][54][55] Between the springs of 1935 and 1936, at the same time as Church, Turing worked on the decidability of problems, starting from Godel's incompleteness theorems. In mid-April 1936, Turing sent Max Newman the first draft typescript of his investigations. That same month, Alonzo Church published his An Unsolvable Problem of Elementary Number Theory, with similar conclusions to Turing's then-yet unpublished work. Finally, on 28 May of that year, he finished and delivered his 36-page paper for publication called ""On Computable Numbers, with an Application to the Entscheidungsproblem"".[56] It was published in the Proceedings of the London Mathematical Society journal in two parts, the first on 30 November and the second on 23 December.[57] In this paper, Turing reformulated Kurt Gödel's 1931 results on the limits of proof and computation, replacing Gödel's universal arithmetic-based formal language with the formal and simple hypothetical devices that became known as Turing machines. The Entscheidungsproblem (decision problem) was originally posed by German mathematician David Hilbert in 1928. Turing proved that his ""universal computing machine"" would be capable of performing any conceivable mathematical computation if it were representable as an algorithm. He went on to prove that there was no solution to the decision problem by first showing that the halting problem for Turing machines is undecidable: it is not possible to decide algorithmically whether a Turing machine will ever halt. This paper has been called ""easily the most influential math paper in history"".[58] Although Turing's proof was published shortly after Alonzo Church's equivalent proof using his lambda calculus,[59] Turing's approach is considerably more accessible and intuitive than Church's.[60] It also included a notion of a 'Universal Machine' (now known as a universal Turing machine), with the idea that such a machine could perform the tasks of any other computation machine (as indeed could Church's lambda calculus). According to the Church–Turing thesis, Turing machines and the lambda calculus are capable of computing anything that is computable. John von Neumann acknowledged that the central concept of the modern computer was due to Turing's paper.[61] To this day, Turing machines are a central object of study in theory of computation.[62] From September 1936 to July 1938, Turing spent most of his time studying under Church at Princeton University,[4] in the second year as a Jane Eliza Procter Visiting Fellow. In addition to his purely mathematical work, he studied cryptology and also built three of four stages of an electro-mechanical binary multiplier.[63] In June 1938, he obtained his PhD from the Department of Mathematics at Princeton;[64] his dissertation, Systems of Logic Based on Ordinals,[65][66] introduced the concept of ordinal logic and the notion of relative computing, in which Turing machines are augmented with so-called oracles, allowing the study of problems that cannot be solved by Turing machines. John von Neumann wanted to hire him as his postdoctoral assistant, but he went back to the United Kingdom.[67]",0
Turner,0,Education information not found,0
Turoff,2,Education information not found,135
Ullman,2,Education information not found,341
